t,rx,ry,theta,vx,vy,omega,Fx,Fy,M
0.35443037974683544,-2.784096693044707,-1.231236577952,-8.074767654520087e-8,0.111152880355251,0.1605670165784857,-2.040241836587242e-9,0.03510260903409829,0.008566463030468374,1.2102097102228981e-11
0.3670886075949367,-2.641457115832263,-1.027585548087571,-8.323888556205361e-8,0.11420696744975783,0.16114206089740585,-1.8944017188271545e-9,0.03438393310565235,0.004516936636491886,1.2853156039493996e-11
0.379746835443038,-2.4949915869813646,-0.8234319119234605,-8.554007902006333e-8,0.11719787985235913,0.16136113405006602,-1.7401352581103424e-9,0.033665259459009444,0.00046741264469252197,1.3543947213756624e-11
0.3924050632911392,-2.344779218751744,-0.6192251176776935,-8.76410433114927e-8,0.12012764561520511,0.1612269578878029,-1.5781601303554993e-9,0.032992725737654494,-0.003520186235205336,1.4172236301179808e-11
0.4050632911392405,-2.1908937206481935,-0.41540743229850285,-8.95324863137148e-8,0.1230029853018913,0.16074838666420171,-1.4092191302772505e-9,0.032426958238340464,-0.00736825840171107,1.4735889591888096e-11
0.4177215189873418,-2.0333979519819874,-0.212407048221813,-9.12060742486176e-8,0.12583350806471566,0.15993765767922175,-1.2340783950293144e-9,0.031973051787528906,-0.011077434439815292,1.5233092565125617e-11
0.43037974683544306,-1.872342760701179,-0.010637269907125102,-9.26544543311536e-8,0.1286282385800559,0.1588056085267049,-1.0535242400688816e-9,0.031612613574062365,-0.01467892985241348,1.5662211111378e-11
0.4430379746835443,-1.707768579683841,0.18950063186906618,-9.387128097060327e-8,0.13139461959762616,0.15736045581720043,-8.68360300332327e-10,0.03132804444044823,-0.018201161704220425,1.602188520744008e-11
0.45569620253164556,-1.5397073882129058,0.38761425325296894,-9.485123708685705e-8,0.13413857414570496,0.15560802991392741,-6.794048656999507e-10,0.031102366867791165,-0.02167000478955361,1.631099075249942e-11
0.46835443037974683,-1.3681846040136008,0.5833171742636409,-9.559004610082411e-8,0.13686455324766128,0.15355198911325313,-4.87488188705143e-10,0.030919067344138407,-0.02510900314254183,1.6528601404219856e-11
0.4810126582278481,-1.1932209233875484,0.7762263358757142,-9.608449014208986e-8,0.13957557042797591,0.1511940170938439,-2.934495424433692e-10,0.030761953430982203,-0.02853953919779839,1.6674082253809175e-11
0.4936708860759494,-1.0148341253309807,0.9659596583820749,-9.633241893070021e-8,0.142273224340014,0.14853400728640626,-9.813491685939368e-11,0.030615026443045645,-0.031980962212229846,1.67469406398002e-11
0.5063291139240507,-0.8330443557903475,1.1521350568285609,-9.633275377396444e-8,0.1449494111871254,0.14557301083700425,9.760575681028172e-11,0.03027353508991526,-0.03538758260512165,1.6746982273163624e-11
0.5189873417721519,-0.6479069044999575,1.3343871320797724,-9.608549556006096e-8,0.14754604711931524,0.1423464626593265,2.929212705726769e-10,0.02880508530895831,-0.03802279101340292,1.667419674555859e-11
0.5316455696202531,-0.4595944467067081,1.5124502012311023,-9.559171898487762e-8,0.14994207714914537,0.13898744462111723,4.869620540137731e-10,0.025709352761787707,-0.0384015348356149,1.6528851204400397e-11
0.5443037974683544,-0.26842885676403316,1.6862493770700526,-9.48535743283685e-8,0.152047999960517,0.13561670712127283,6.788823947445621e-10,0.022204570371357313,-0.03828943205902882,1.6311351574982424e-11
0.5569620253164557,-0.07479399730604097,1.8557864733019622,-9.387427768459133e-8,0.15384236202921658,0.1322521332260389,8.678430751807298e-10,0.01862072756871802,-0.038261300630374445,1.6022426441164583e-11
